Quote,Author
"“Life is pain, highness. Anyone who says differently is selling something.”","William Goldman,"
“Angry people are not always wise.”,"Jane Austen,"
"“Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.”",William Faulkner
“Time flies like an arrow; fruit flies like a banana.”,Anthony G. Oettinger
"“That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year."" ""Why?"" Isabelle said. ""So you can look up 'fun.' I'm not sure you know what it means.”","Cassandra Clare,"
"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",Roy T. Bennett
"“Love does not consist of gazing at each other, but in looking outward together in the same direction.”","Antoine de Saint-Exupéry,"
"“Resist much, obey little.”","Walt Whitman,"
"“When a man gives his opinion, he's a man. When a woman gives her opinion, she's a bitch.”",Bette Davis
“No book is really worth reading at the age of ten which is not equally – and often far more – worth reading at the age of fifty and beyond.”,C.S. Lewis
"“What I want is to be needed. What I need is to be indispensable to somebody. Who I need is somebody that will eat up all my free time, my ego, my attention. Somebody addicted to me. A mutual addiction.”","Chuck Palahniuk,"
“Being crazy isn't enough.”,Dr. Seuss
"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”","Roy T. Bennett,"
"“Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.”","Paul Auster,"
"“And perhaps it is the greater grief, after all, to be left on earth when another is gone.”","Madeline Miller,"
"“It was love at first sight, at last sight, at ever and ever sight.”","Vladimir Nabokov,"
"“By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.”",Confucious
“I don't go looking for trouble. Trouble usually finds me.”,"Katie McGarry,"
“To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.”,C.S. Lewis
“I don't want to die without any scars.”,"Chuck Palahniuk,"
"“I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.”",Agatha Christie
“Every child is an artist. The problem is how to remain an artist once he grows up.”,Pablo Picasso
“A girl should be two things: classy and fabulous.”,Coco Chanel
“The future belongs to those who believe in the beauty of their dreams.”,Eleanor Roosevelt
"“It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.”","Henry Rollins,"
"“You cannot control the behavior of others, but you can always choose how you respond to it.”","Roy T. Bennett,"
"“Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said. ""That's not what I meant.”","Rick Riordan,"
"“When he shall die, Take him and cut him out in little stars, And he will make the face of heaven so fine That all the world will be in love with night And pay no worship to the garish sun.”","William Shakespeare,"
"“My daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.”","Nicholas Sparks,"
“Some people feel the rain. Others just get wet.”,Bob Marley
"“With freedom, flowers, books, and the moon, who could not be perfectly happy?”","Oscar Wilde,"
"“Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.”","Mark Twain,"
"“I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me.”",Ralph Waldo Emerson
“Everything was beautiful and nothing hurt.”,"Kurt Vonnegut,"
"“And, in the end The love you take is equal to the love you make.”","Paul McCartney,"
“I don't want to lose the boy with the bread.”,"Suzanne Collins,"
“Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”,"J.K. Rowling,"
"“I love people who make me laugh. I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.”",Audrey Hepburn
"“If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.”",Greg Behrendt
"“Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.”",J.K. Rowling
“I have a theory that selflessness and bravery aren't all that different.”,"Veronica Roth,"
"“Loyalty to country ALWAYS. Loyalty to government, when it deserves it.”",Mark Twain
“To define is to limit.”,"Oscar Wilde,"
“All grown-ups were once children... but only few of them remember it.”,"Antoine de Saint-Exupéry,"
“Don't tell me the moon is shining; show me the glint of light on broken glass.”,Anton Chekhov
“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill
"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”","Roy T. Bennett,"
"“If music be the food of love, play on; Give me excess of it, that, surfeiting, The appetite may sicken, and so die. That strain again! it had a dying fall: O, it came o'er my ear like the sweet sound, That breathes upon a bank of violets, Stealing and giving odour! Enough; no more: 'Tis not so sweet now as it was before. O spirit of love! how quick and fresh art thou, That, notwithstanding thy capacity Receiveth as the sea, nought enters there, Of what validity and pitch soe'er, But falls into abatement and low price, Even in a minute: so full of shapes is fancy That it alone is high fantastical.”","William Shakespeare,"
"“The so-called ‘psychotically depressed’ person who tries to kill herself doesn’t do so out of quote ‘hopelessness’ or any abstract conviction that life’s assets and debits do not square. And surely not because death seems suddenly appealing. The person in whom Its invisible agony reaches a certain unendurable level will kill herself the same way a trapped person will eventually jump from the window of a burning high-rise. Make no mistake about people who leap from burning windows. Their terror of falling from a great height is still just as great as it would be for you or me standing speculatively at the same window just checking out the view; i.e. the fear of falling remains a constant. The variable here is the other terror, the fire’s flames: when the flames get close enough, falling to death becomes the slightly less terrible of two terrors. It’s not desiring the fall; it’s terror of the flames. And yet nobody down on the sidewalk, looking up and yelling ‘Don’t!’ and ‘Hang on!’, can understand the jump. Not really. You’d have to have personally been trapped and felt flames to really understand a terror way beyond falling.”",David Foster Wallace
“You do not write your life with words...You write it with actions. What you think is not important. It is only important what you do .”,"Patrick Ness,"
"“You have power over your mind - not outside events. Realize this, and you will find strength.”","Marcus Aurelius,"
"“Be patient toward all that is unsolved in your heart and try to love the questions themselves, like locked rooms and like books that are now written in a very foreign tongue. Do not now seek the answers, which cannot be given you because you would not be able to live them. And the point is, to live everything. Live the questions now. Perhaps you will then gradually, without noticing it, live along some distant day into the answer.”",Rainer Maria Rilke
"“Fire is catching! And if we burn, you burn with us!”","Suzanne Collins,"
"“And now these three remain: faith, hope and love. But the greatest of these is love.”","Anonymous,"
"“I don't mind living in a man's world, as long as I can be a woman in it.”","Marilyn Monroe,"
"“Like most misery, it started with apparent happiness.”","Markus Zusak,"
“Fiction is the truth inside the lie.”,Stephen King
"“Everybody has a secret world inside of them. I mean everybody. All of the people in the whole world, I mean everybody — no matter how dull and boring they are on the outside. Inside them they've all got unimaginable, magnificent, wonderful, stupid, amazing worlds... Not just one world. Hundreds of them. Thousands, maybe.”","Neil Gaiman,"
“I will not say: do not weep; for not all tears are an evil.”,"J.R.R. Tolkien,"
"“There are too many books I haven’t read, too many places I haven’t seen, too many memories I haven’t kept long enough.”",Irwin Shaw
"“Simplicity, patience, compassion. These three are your greatest treasures. Simple in actions and thoughts, you return to the source of being. Patient with both friends and enemies, you accord with the way things are. Compassionate toward yourself, you reconcile all beings in the world.”","Lao Tzu,"
"“Why do people have to be this lonely? What's the point of it all? Millions of people in this world, all of them yearning, looking to others to satisfy them, yet isolating themselves. Why? Was the earth put here just to nourish human loneliness?”","Haruki Murakami,"
"“It's strange because sometimes, I read a book, and I think I am the people in the book.”","Stephen Chbosky,"
“My nightmares are usually about losing you. I'm okay once I realize you're here.”,"Suzanne Collins,"
"“It's just that I don't want to be somebody's crush. If somebody likes me, I want them to like the real me, not what they think I am. And I don't want them to carry it around inside. I want them to show me, so I can feel it too.”","Stephen Chbosky,"
"“Show me a hero, and I'll write you a tragedy.”",F. Scott Fitzgerald
"“She generally gave herself very good advice, (though she very seldom followed it).”","Lewis Carroll,"
"“She is too fond of books, and it has turned her brain.”","Louisa May Alcott,"
"“In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.”",Mortimer J. Adler
"“The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.”","Douglas Adams,"
"“Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?"" ""Didn't they start the Trojan War and get thousands of people killed?"" ""Pfft. That's not the point. Follow your heart.”","Rick Riordan,"
“What you seek is seeking you.”,Mawlana Jalal-al-Din Rumi
“Sometimes people don't want to hear the truth because they don't want their illusions destroyed.”,Friedrich Nietzsche
"“People generally see what they look for, and hear what they listen for.”","Harper Lee,"
"“Let there be spaces in your togetherness, And let the winds of the heavens dance between you. Love one another but make not a bond of love: Let it rather be a moving sea between the shores of your souls. Fill each other's cup but drink not from one cup. Give one another of your bread but eat not from the same loaf. Sing and dance together and be joyous, but let each one of you be alone, Even as the strings of a lute are alone though they quiver with the same music. Give your hearts, but not into each other's keeping. For only the hand of Life can contain your hearts. And stand together, yet not too near together: For the pillars of the temple stand apart, And the oak tree and the cypress grow not in each other's shadow.”","Khalil Gibran,"
"“It's a metaphor, see: You put the killing thing right between your teeth, but you don't give it the power to do its killing.”","John Green,"
“I was never really insane except upon occasions when my heart was touched.”,Edgar Allan Poe
"“The nicest thing for me is sleep, then at least I can dream.”",Marilyn Monroe
"“Beauty is terror. Whatever we call beautiful, we quiver before it.”","Donna Tartt,"
"“The most important things are the hardest to say. They are the things you get ashamed of, because words diminish them -- words shrink things that seemed limitless when they were in your head to no more than living size when they're brought out. But it's more than that, isn't it? The most important things lie too close to wherever your secret heart is buried, like landmarks to a treasure your enemies would love to steal away. And you may make revelations that cost you dearly only to have people look at you in a funny way, not understanding what you've said at all, or why you thought it was so important that you almost cried while you were saying it. That's the worst, I think. When the secret stays locked within not for want of a teller but for want of an understanding ear.”",Stephen King
"“Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace.”","Oscar Wilde,"
"“Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!”","Hunter S. Thompson,"
"“I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, He will not ask, 'How many good things have you done in your life?' rather He will ask, 'How much love did you put into what you did?”",Mother Teresa
"“We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.” I will find that special person who is wrong for me in just the right way.”","Andrew  Boyd,"
“He who has a why to live for can bear almost any how.”,Friedrich Nietzsche
“No medicine cures what happiness cannot.”,Gabriel García Márquez
"“What is an ""instant"" death anyway? How long is an instant? Is it one second? Ten? The pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. What the hell is instant? Nothing is instant. Instant rice takes five minutes, instant pudding an hour. I doubt that an instant of blinding pain feels particularly instantaneous.”","John Green,"
“The worst part of holding the memories is not the pain. It's the loneliness of it. Memories need to be shared.”,"Lois Lowry,"
"“If you look for perfection, you'll never be content.”","Leo Tolstoy,"
“The road to hell is paved with adverbs.”,"Stephen King,"
"“Will looked horrified. ""What kind of monster could possibly hate chocolate?”","Cassandra Clare,"
"“But I know, somehow, that only when it is dark enough can you see the stars.”","Martin Luther King, Jr."
“Freedom is not worth having if it does not include the freedom to make mistakes.”,Mahatma Gandhi
“Fear doesn't shut you down; it wakes you up”,"Veronica Roth,"
“I hate to hear you talk about all women as if they were fine ladies instead of rational creatures. None of us want to be in calm waters all our lives.”,"Jane Austen,"
"“Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell.”",Joan Crawford
"“I did then what I knew how to do. Now that I know better, I do better.”",Maya Angelou
"“It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.”",Vincent Van Gogh
“Books are the mirrors of the soul.”,"Virginia Woolf,"
"“Everyone seems to have a clear idea of how other people should lead their lives, but none about his or her own.”","Paulo Coelho,"
"“It kills me sometimes, how people die.”","Markus Zusak,"
"“The town was paper, but the memories were not.”","John Green,"
“Unbeing dead isn't being alive.”,E. E. Cummings
"“Fantasy is escapist, and that is its glory. If a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .If we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can!”",J.R.R. Tolkien
“Maybe 'okay' will be our 'always”,"John Green,"
"“Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ”","Haruki Murakami,"
“Don't judge each day by the harvest you reap but by the seeds that you plant.”,Robert Louis Stevenson
"“because nerds like us are allowed to be unironically enthusiastic about stuff. Nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-can’t-control-yourself love it. Hank, when people call people nerds, mostly what they’re saying is ‘you like stuff.’ Which is just not a good insult at all. Like, ‘you are too enthusiastic about the miracle of human consciousness’.”",John Green
"“I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts.”","Leo Tolstoy,"
“Life's under no obligation to give us what we expect.”,Margaret Mitchell
“Nobody can hurt me without my permission.”,Mahatma Gandhi
"“The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.”","Roy T. Bennett,"
"“You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.”","J.K. Rowling,"
"“Live, travel, adventure, bless, and don't be sorry.”",Jack Kerouac
“What is hell? I maintain that it is the suffering of being unable to love.”,"Fyodor Dostoevsky,"
“Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.”,"Rick Riordan,"
"“He is half of my soul, as the poets say.”","Madeline Miller,"
“I read so I can live more than one life in more than one place.”,Anne Tyler
"“Happiness is having a large, loving, caring, close-knit family in another city.”",George Burns
"“You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have.”","Nicholas Sparks,"
“There is nothing in the world so irresistibly contagious as laughter and good humor.”,"Charles Dickens,"
"“I am a badass, and I recognize that you, too, are a badass.”",Cassandra Clare
"“I don’t know if you’ve ever felt like that. That you wanted to sleep for a thousand years. Or just not exist. Or just not be aware that you do exist. Or something like that. I think wanting that is very morbid, but I want it when I get like this. That’s why I’m trying not to think. I just want it all to stop spinning.”","Stephen Chbosky,"
“People haven't always been there for me but music always has.”,Taylor Swift
"“If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him.”","Paulo Coelho,"
"“My dear, Find what you love and let it kill you. Let it drain you of your all. Let it cling onto your back and weigh you down into eventual nothingness. Let it kill you and let it devour your remains. For all things will kill you, both slowly and fastly, but it’s much better to be killed by a lover. ~ Falsely yours”",Kinky Friedman
"“Peter would probably throw a party if I stopped breathing.' 'Well,' he says, 'I would only go if there was cake.”","Veronica Roth,"
“The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart”,Helen Keller
"“Words are, of course, the most powerful drug used by mankind.”",Rudyard Kipling
"“I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.”","Suzanne Collins,"
“None of us really changes over time. We only become more fully what we are.”,"Anne Rice,"
“The truth does not change according to our ability to stomach it.”,Flannery O'Connor
"“Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.”","Jane Austen,"
"“You pierce my soul. I am half agony, half hope...I have loved none but you.”","Jane Austen,"
“I am haunted by humans.”,"Markus Zusak,"
“Life becomes easier and more beautiful when we can see the good in other people.”,Roy T. Bennett
"“The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.”","Ernest Hemingway,"
"“Do you think I am an automaton? — a machine without feelings? and can bear to have my morsel of bread snatched from my lips, and my drop of living water dashed from my cup? Do you think, because I am poor, obscure, plain, and little, I am soulless and heartless? You think wrong! — I have as much soul as you — and full as much heart! And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you. I am not talking to you now through the medium of custom, conventionalities, nor even of mortal flesh: it is my spirit that addresses your spirit; just as if both had passed through the grave, and we stood at God's feet, equal — as we are!”","Charlotte Brontë,"
“Wrinkles should merely indicate where the smiles have been.”,Mark Twain
"“Angry, and half in love with her, and tremendously sorry, I turned away.”","F. Scott Fitzgerald,"
“Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.”,Marcel Proust
"“Without deviation from the norm, progress is not possible.”",Frank Zappa
“It is amazing how complete is the delusion that beauty is goodness.”,"Leo Tolstoy,"
“Fear cuts deeper than swords.”,"George R.R. Martin,"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
“Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.”,Maya Angelou
“You probably wouldn’t worry about what people think of you if you could know how seldom they do.”,Olin Miller
“Let no man pull you so low as to hate him.”,"Martin Luther King Jr.,"
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”","Steve Maraboli,"
“Let everything happen to you Beauty and terror Just keep going No feeling is final”,Rainer Maria Rilke
“War is what happens when language fails.”,Margaret Atwood
"“Don't order any of the faerie food,"" said Jace, looking at her over the top of his menu. ""It tends to make humans a little crazy. One minute you're munching a faerie plum, the next minute you're running naked down Madison Avenue with antlers on your head. Not,"" he added hastily, ""that this has ever happened to me.”","Cassandra Clare,"
"“You do not have to be good. You do not have to walk on your knees for a hundred miles through the desert, repenting. You only have to let the soft animal of your body love what it loves. Tell me about despair, yours, and I will tell you mine. Meanwhile the world goes on. Meanwhile the sun and the clear pebbles of the rain are moving across the landscapes, over the prairies and the deep trees, the mountains and the rivers. Meanwhile the wild geese, high in the clean blue air, are heading home again. Whoever you are, no matter how lonely, the world offers itself to your imagination, calls to you like the wild geese, harsh and exciting – over and over announcing your place in the family of things.”",Mary Oliver
"“Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.”","Anais Nin,"
“Everything is possible. The impossible just takes longer.”,"Dan Brown,"
“It's not denial. I'm just selective about the reality I accept.”,Bill Watterson
"“I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though."" ""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something."" I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear. ""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you."" I laugh a little. ""Then you should know better."" ""Fine,"" he says. ""Then I love you.”","Veronica Roth,"
"“I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.”","Sylvia Plath,"
"“Blessed is he who expects nothing, for he shall never be disappointed.”",Alexander Pope
"“Sometimes crying or laughing are the only options left, and laughing feels better right now.”","Veronica Roth,"
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James A. Baldwin
"“Why, sometimes I've believed as many as six impossible things before breakfast.”","Lewis Carroll,"
“None but ourselves can free our minds.”,Bob Marley
"“Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.”",Muhammad Ali
“Never say goodbye because goodbye means going away and going away means forgetting.”,"J.M. Barrie,"
"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,"
"“What I say is, a town isn’t a town without a bookstore. It may call itself a town, but unless it’s got a bookstore, it knows it’s not foolin’ a soul.”","Neil Gaiman,"
"“Ever had a flying burrito hit you? Well, it's a deadly projectile, right up there with cannonballs and grenades.”","Rick Riordan,"
"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”","Roy T. Bennett,"
"“I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms...”",Henry David Thoreau
"“Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.”",Bertrand Russell
"“No mourners. No funerals. Among them, it passed for 'good luck.”","Leigh Bardugo,"
“Woke up this morning with a terrific urge to lie in bed all day and read.”,Raymond Carver
“Trust yourself. You know more than you think you do.”,Benjamin Spock
"“Success is not how high you have climbed, but how you make a positive difference to the world.”","Roy T. Bennett,"
"“You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on.”",Tupac Shakur
“Nowadays people know the price of everything and the value of nothing.”,"Oscar Wilde,"
“Words can be like X-rays if you use them properly – they’ll go through anything. You read and you’re pierced.”,"Aldous Huxley,"
“Sometimes you make choices in life and sometimes choices make you.”,"Gayle Forman,"
"“People say nothing is impossible, but I do nothing every day.”","A.A. Milne,"
"“Men always say that as the defining compliment, don’t they? She’s a cool girl. Being the Cool Girl means I am a hot, brilliant, funny woman who adores football, poker, dirty jokes, and burping, who plays video games, drinks cheap beer, loves threesomes and anal sex, and jams hot dogs and hamburgers into her mouth like she’s hosting the world’s biggest culinary gang bang while somehow maintaining a size 2, because Cool Girls are above all hot. Hot and understanding. Cool Girls never get angry; they only smile in a chagrined, loving manner and let their men do whatever they want. Go ahead, shit on me, I don’t mind, I’m the Cool Girl. Men actually think this girl exists. Maybe they’re fooled because so many women are willing to pretend to be this girl. For a long time Cool Girl offended me. I used to see men – friends, coworkers, strangers – giddy over these awful pretender women, and I’d want to sit these men down and calmly say: You are not dating a woman, you are dating a woman who has watched too many movies written by socially awkward men who’d like to believe that this kind of woman exists and might kiss them. I’d want to grab the poor guy by his lapels or messenger bag and say: The bitch doesn’t really love chili dogs that much – no one loves chili dogs that much! And the Cool Girls are even more pathetic: They’re not even pretending to be the woman they want to be, they’re pretending to be the woman a man wants them to be. Oh, and if you’re not a Cool Girl, I beg you not to believe that your man doesn’t want the Cool Girl. It may be a slightly different version – maybe he’s a vegetarian, so Cool Girl loves seitan and is great with dogs; or maybe he’s a hipster artist, so Cool Girl is a tattooed, bespectacled nerd who loves comics. There are variations to the window dressing, but believe me, he wants Cool Girl, who is basically the girl who likes every fucking thing he likes and doesn’t ever complain. (How do you know you’re not Cool Girl? Because he says things like: “I like strong women.” If he says that to you, he will at some point fuck someone else. Because “I like strong women” is code for “I hate strong women.”)”","Gillian Flynn,"
“It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.”,"Patrick Rothfuss,"
"“Rather than love, than money, than fame, give me truth.”","Henry David Thoreau,"
“There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self.”,Ernest Hemingway
“When love is not madness it is not love.”,Pedro Calderon de la Barca
“This moment will just be another story someday.”,"Stephen Chbosky,"
“Nothing is so painful to the human mind as a great and sudden change.”,"Mary Wollstonecraft Shelley,"
"“Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.”",sylvia plath
"“It's all right to love someone who doesn't love you back, as long as they're worth you loving them. As long as they deserve it.”","Cassandra Clare,"
"“Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.”","Rabindranath Tagore,"
“The journey of a thousand miles begins with a single step.”,Lao Tzu
“God has no religion.”,Mahatma Gandhi
"“I may die young, but at least I'll die smart.”","John Green,"
“No. I can survive well enough on my own— if given the proper reading material.”,"Sarah J. Maas,"
"“Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again, but the storm adjusts. Over and over you play this out, like some ominous dance with death just before dawn. Why? Because this storm isn't something that blew in from far away, something that has nothing to do with you. This storm is you. Something inside of you. So all you can do is give in to it, step right inside the storm, closing your eyes and plugging up your ears so the sand doesn't get in, and walk through it, step by step. There's no sun there, no moon, no direction, no sense of time. Just fine white sand swirling up into the sky like pulverized bones. That's the kind of sandstorm you need to imagine. And you really will have to make it through that violent, metaphysical, symbolic storm. No matter how metaphysical or symbolic it might be, make no mistake about it: it will cut through flesh like a thousand razor blades. People will bleed there, and you will bleed too. Hot, red blood. You'll catch that blood in your hands, your own blood and the blood of others. And once the storm is over you won't remember how you made it through, how you managed to survive. You won't even be sure, in fact, whether the storm is really over. But one thing is certain. When you come out of the storm you won't be the same person who walked in. That's what this storm's all about.”","Haruki Murakami,"
“Life has no meaning. Each of us has meaning and we bring it to life. It is a waste to be asking the question when you are the answer.”,Joseph Campbell
"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.”","Marcus Aurelius,"
“It is better to fail in originality than to succeed in imitation.”,Herman Melville
"“I will have you without armor, Kaz Brekker. Or I will not have you at all.”","Leigh Bardugo,"
"“I've got a stele we can use. Who wants to do me?"" ""A regrettable choice of words,"" muttered Magnus.”","Cassandra Clare,"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”","Charles Bukowski,"
"“I loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be.”","Charles Dickens,"
"“He must have known I'd want to leave you."" ""No, he must have known you would always want to come back.”","J.K. Rowling,"
“The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.”,"Albert Einstein,"
“I don't want to repeat my innocence. I want the pleasure of losing it again.”,"F. Scott Fitzgerald,"
“there is a loneliness in this world so great that you can see it in the slow movement of the hands of a clock. people so tired mutilated either by love or no love. people just are not good to each other one on one. the rich are not good to the rich the poor are not good to the poor. we are afraid. our educational system tells us that we can all be big-ass winners. it hasn't told us about the gutters or the suicides. or the terror of one person aching in one place alone untouched unspoken to watering a plant.”,"Charles Bukowski,"
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis
“Don’t grieve. Anything you lose comes round in another form.”,Rumi
"“In heaven, all the interesting people are missing.”",Friedrich Nietzsche
"“In the darkness, two shadows, reaching through the hopeless, heavy dusk. Their hands meet, and light spills in a flood like a hundred golden urns pouring out of the sun.”","Madeline Miller,"
“All I ever wanted was to reach out and touch another human being not just with my hands but with my heart.”,"Tahereh Mafi,"
“It is the time you have wasted for your rose that makes your rose so important.”,"Antoine de Saint-Exupéry,"
“There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds.”,"Laurell K. Hamilton,"
"“Pursue what catches your heart, not what catches your eyes.”","Roy T. Bennett,"
“Who said nights were for sleep?”,Marilyn Monroe
"“Books are the plane, and the train, and the road. They are the destination, and the journey. They are home.”","Anna Quindlen,"
